pk_local,regiao,estado,microrregiao,zona,bairro,escola_codigo,escola_nome,cidade
1,Nordeste,Paraiba,11ª GRE,Urbana,GULTERINA ALENCAR VIDAL,25033158,EMEIF MAE IAIA,ÁGUA BRANCA
2,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25033204,EEEFM JOSE NOMINANDO,ÁGUA BRANCA
3,Nordeste,Paraiba,11ª GRE,Rural,POVOADO LAGOINHA,25033212,EEEF JOAO PEREIRA DOS SANTOS,ÁGUA BRANCA
4,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033220,EEEIF SITIO EXU,ÁGUA BRANCA
5,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033271,EMEF SAO SEBASTIAO,ÁGUA BRANCA
6,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033298,EMEF ANTONIO LAURINDO DE MATOS,ÁGUA BRANCA
7,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033301,EMEF GUALTERINA ALENCAR VIDAL,ÁGUA BRANCA
8,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25033310,EMPG ISAIAS PEREIRA DA SILVA,ÁGUA BRANCA
9,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033328,EMEF IZIDIO HERCULANO DA SILVA,ÁGUA BRANCA
10,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033336,EMEF JOANA BATISTA DAS CHAGAS,ÁGUA BRANCA
11,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033344,EMEF JOAQUIM FELIX DOS SANTOS,ÁGUA BRANCA
12,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033352,EMEF JOSE BATISTA DIAS,ÁGUA BRANCA
13,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033360,GR ESC JOSE BARROS,ÁGUA BRANCA
14,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033387,EMEF LIBERALINO GALDINO DE MORAES,ÁGUA BRANCA
15,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033395,EMEF MANOEL VICENTE LEITE,ÁGUA BRANCA
16,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033417,GR ESC SEVERINO B DIAS,ÁGUA BRANCA
17,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033425,EMEF SEVERINO FIRMINO DE SANTANA,ÁGUA BRANCA
18,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033433,EMEF INOCENCIO SALES,ÁGUA BRANCA
19,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033441,EMEF CICERO GUEDES DA COSTA,ÁGUA BRANCA
20,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033450,GR ESC ANTONIO TERTULIANO PEREIRA,ÁGUA BRANCA
21,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033476,EMEF ANDRE ALVES DO NASCIMENTO,ÁGUA BRANCA
22,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033484,EMEF LUIS MENDES DA SILVA,ÁGUA BRANCA
23,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033492,EMEF PEDRO BERNARDINO DE SOUSA,ÁGUA BRANCA
24,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033514,EMEF JOSE GOMES DE SALES,ÁGUA BRANCA
25,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033522,EMEF ANISIO BARBOSA DE SOUZA,ÁGUA BRANCA
26,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033530,EMEF ANTONIO GOMES,ÁGUA BRANCA
27,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033549,EMEF AUGUSTO DOS ANJOS,ÁGUA BRANCA
28,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033557,EMEIF DELFINO JOSE DOS SANTOS,ÁGUA BRANCA
29,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033565,EMEF FRANCISCO ALVES DA SILVA,ÁGUA BRANCA
30,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033573,EMEF FRANCISCO LOPES DA SILVA,ÁGUA BRANCA
31,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033590,GR ESC JOAO FRANCISCO GOMES,ÁGUA BRANCA
32,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033603,EMEF JOAO IMACULADA DA SILVA,ÁGUA BRANCA
33,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033611,EMEF JOAQUIM EUGENIO DE MELO,ÁGUA BRANCA
34,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033646,EMEF MANOEL AMANCIO DA SILVA,ÁGUA BRANCA
35,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033654,EMEF MANUEL GONCALVES DE MOURA,ÁGUA BRANCA
36,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25033662,GR ESC TIBURTINO CORREIA DE MELO,ÁGUA BRANCA
